E,mu,t,id_machine,id_specimen,id_measurement
10060.647234431002,0.32055430302228105,0.25,A,0,g
9436.45656197781,0.3169644248375435,0.25,A,1,g
10304.69073944372,0.32310183456681374,0.25,A,2,g
9660.050502689437,0.3239957600821089,0.25,A,3,g
10091.788906187569,0.3171865241389247,0.25,A,4,g
9905.027363051828,0.31877176720421957,0.25,A,5,g
9580.897646281646,0.3225258630919349,0.25,A,6,g
10697.712013577246,0.31765313119597105,0.25,A,7,g
9906.676807133743,0.32082517819230305,0.25,A,8,g
10168.867420499604,0.3180888135344677,0.25,A,9,g
11795.773906275885,0.32012738928398243,0.125,A,10,g
11458.722903513804,0.3165153836071559,0.125,A,11,g
11594.704123933392,0.32818691969112856,0.125,A,12,g
12015.3381708571,0.320620739088044,0.125,A,13,g
11826.094884955377,0.3203213608739221,0.125,A,14,g
12395.90821255753,0.3227807679438613,0.125,A,15,g
12120.45474159299,0.3188153867139873,0.125,A,16,g
12564.397364353801,0.31869845689373655,0.125,A,17,g
12436.524361791247,0.3230552600122319,0.125,A,18,g
12128.945542276098,0.32456617262912574,0.125,A,19,g
9833.404788250253,0.31596024346948537,0.25,B,20,g
10348.910354634558,0.3239410427511865,0.25,B,21,g
9847.713379173845,0.3180824723505122,0.25,B,22,g
10017.72754717922,0.3168732944059372,0.25,B,23,g
10053.61803178898,0.3198848276410353,0.25,B,24,g
10324.902970496843,0.3201569616746055,0.25,B,25,g
9530.697247726252,0.3175646860673498,0.25,B,26,g
9916.442179588346,0.31625317345585213,0.25,B,27,g
9547.595489447627,0.3165173993849967,0.25,B,28,g
9435.562998254432,0.317047534331247,0.25,B,29,g
11888.203073940822,0.32372707829834785,0.125,B,30,g
12767.766275017457,0.3198088510416801,0.125,B,31,g
12210.869779304861,0.3211098025766725,0.125,B,32,g
11970.284291589076,0.31620776567977754,0.125,B,33,g
11508.288276302914,0.3211129674343139,0.125,B,34,g
12504.850984216358,0.3213970298312094,0.125,B,35,g
11829.172950271419,0.3193759260398584,0.125,B,36,g
12295.392950727663,0.3174047773944629,0.125,B,37,g
11844.347185081375,0.3202219060589001,0.125,B,38,g
12014.860453716452,0.3157944819397873,0.125,B,39,g
10969.30116562385,0.3215494541825891,0.25,C,40,g
10624.436871728694,0.3199588695075265,0.25,C,41,g
11262.723932182265,0.31734208884710324,0.25,C,42,g
9986.287143397547,0.3176039913471589,0.25,C,43,g
9787.440552060974,0.32418548760488314,0.25,C,44,g
9939.77391497414,0.3208557483054827,0.25,C,45,g
10620.215541994156,0.31899077088548916,0.25,C,46,g
9951.669719428734,0.32321151708538126,0.25,C,47,g
10339.796009940896,0.32039982791079374,0.25,C,48,g
11058.854380502951,0.3214417211729414,0.25,C,49,g
12779.743667833898,0.3186882735224853,0.125,C,50,g
12731.76141513271,0.31772982784473053,0.125,C,51,g
13586.48959439807,0.3182047634691746,0.125,C,52,g
12886.190201311665,0.3163901602140395,0.125,C,53,g
13494.7764540742,0.318765774021024,0.125,C,54,g
12883.704354943371,0.3243819496836812,0.125,C,55,g
12831.130555172842,0.3190792734645313,0.125,C,56,g
13459.577813098225,0.3220144745209765,0.125,C,57,g
12353.62723347246,0.3229731499468994,0.125,C,58,g
12926.153393400888,0.3191305933322266,0.125,C,59,g
9847.613235944553,0.3217840661142969,0.25,D,60,g
10252.659368466435,0.3189124713360611,0.25,D,61,g
9712.411927865895,0.31881003043010003,0.25,D,62,g
9821.53227698861,0.32124866129122454,0.25,D,63,g
